,question,contents
,"한지장판 배접의 이유가 뭐야?
장시간 물불림, 숨죽임 했을 때 한지장판에서 배접이 일어날 수 있나요?","한지장판 배접 원인은 장판지 생산 과정에서 배접 접착력 불량, 충분히 양생되지 않은 장판지를 시공 등이 있습니다. 또한, 장시간 물불림, 숨죽임 했을 때도 발생합니다."
,"한지장판 하자 중 얼룩의 원인이 뭐야?
습기로 인해 한지장판에서 얼룩이 발생할 수 있어?
한지장판 하자의 보수방법은 어떻게 돼?","한지장판 얼룩 원인으로는 바닥 미장이 충분히 양생되지 않아 습기와 시멘트성분으로 인해 발생, 합성수지 접착제의 배합비가 과다할 때(바인더), 그리고 시공 직후 고열 난방등이 있습니다.
한지장판 하자 보수방법은 들뜸 하자보수방법과 유사합니다."
,"수직, 수평이 불량인 원인을 알려줘.
실내 구조의 각도가 수직, 수평의 불량 원인이 될 수 있어?
수직 수평이 불량일 때 보수방법이 뭔가요?","수직, 수평 불량원인은 실내 구조의 각도, 마감재의 수직, 수평 시공 불량등이 있으며, 다림추(수직), 분줄(수평) 사용 생략등이 있습니다.
수직, 수평 불량 보수방법은 무늬, 주출입구, 정시야 우선 조건에서 수직을 버리고 수평을 얻거나, 수평을 버리고 수직을 얻거나, 수직, 수평 모두 일부는 버리고 일부는 얻거나 절충의 세 가지 중에서 선택합니다. 위의 3가지 모두 오차를 허용합니다."
,"바닥재, 가구, 조명 등 훼손 원인이 뭐야?
무리한 공정이 바닥재, 가구, 조명의 훼손원인이 될 수 있어?
바닥재, 가구, 조명 훼손 보수방법이 어떻게 돼?","바닥재, 가구, 조명등 훼손원인은 무리한 공정, 후속 작업이 뒤바뀔 때 등이 있으며, 보양 누락 혹은 생략할 경우 발생합니다. 또한, 바닥재 및 도배 작업대의 모서리, 다리부분 보양 불량일 때도 발생합니다.
바닥재, 가구, 조명등 훼손보수방법은 해당 공정의 AS의뢰하는 것입니다."
,"복합적인 하자 원인이 어떻게 돼?
누수가 복합적 하자의 원인이 될 수 있어?
복합 하자의 보수방법이 어떻게 돼?","복합적인 하자원인은 타 공정 하자인 누수로 인해 누수 부위의 수분으로 곰팡이가 발생하고 접착력 저하로 들뜸 하자 발생합니다.
복합적인 하자보수방법은 곰팡이를 제거하고 누수 부위를 건조(기건 상태)시킨 후 곰팡이가 재발생하지 않도록 조치 후 폭갈이하거나, 전면 재시공하는 것입니다."
,"벽지공사 하자 사례에 대해서 알려줘
벽지 공사에서 하자율이 높은 장소가 어디야?","가장 하자율이 높은 장소는 거실, 하자율이 높은 종류는 들뜸. 또한 하자율이 높은 장소는 침실, 하자율이 높은 종류는 타 공정 가구 찍힘. "
,"도배공사의 하자유형을 알려줘
도배공사 하자의 원인은 어떻게 돼?","도배공사 하자유형은 초배지의 사용 유, 무와 퍼티 등 바탕처리에 따라 다르게 나타났다. 도배공사 하자의 80%는 시공자의 하자보다는 타 공정에 의해 발생되었다. "
,"자재 이색 하자가 무엇인가요?
자재 이색 하자는 어떤 경우에 발생하나요?","도배지의 컬러 인쇄면의 색감이 벽지의 폭마다 달라 나타나는 현상으로, 제조사의 가공불량과 시공자의 정 방향, 역방향 시공에 대한 숙지가 부족하여 발생한다. "
,"오염 하자는 무엇인가요?
오염하자는 어떤 경우에 발생하나요?","도배지의 표면에 이물질이 접착되어 발생하는 현상으로 시공 시 시공자의 시공미숙과 시공 후 타 공정에 의한 하자, 입주 후 입주자의 과실로도 발생한다. 천정오염하자는 시공불량으로 정배 후 풀 자국이 남아있어 발생된 하자나 타 공정이 공사도중 이물질을 묻혀 발생된 하자이다. 정배 후 스위치 ON/OFF 스위치 주변에 손때가 많이 묻어 발생한다. "
,이음 부위가 벌어지거나 갈라지는 현상은 어떤경우에 발생하나요?,"벽지, 천정지의 연결부위의 벌어짐 또는 갈라짐은 도배를 위해 미리 풀칠을 한 도배지의 끝 부위가 시공 전 바람에 말라 탈락하는 경우와 바탕 면이 부실하여 탈락하는 경우 등으로 구분할 수 있다. "
,"울음하자에 대해서 설명해 줘.
울음하자는 어떤 경우에 발생하나요?","도배지가 시공 후 표면이 매끄럽지 않고 요철이 발생하여 우는현상으로, 도배용 풀과 물의 반죽에 의한 습기가 벽지에 지나치게 함수하여 발생하거나 급속한 양생에 의해 발생한다. "
,후속 작업자에 의한 하자는 무엇인가요?,후속 작업자에 의한 하자는 단순 후속 작업자의 실수 또는 부실로 하자가 발생하는 경우와 공정관리 부실로 인한 역공정 시공으로 추가적인 하자가 발생한다. 
,찍힘 및 스크래치 하자가 뭐야?,"찍힘 및 스크래치하자 찍힘 하자는 도배지가 외부의 충격에 의하여 패이거나 뜯겨나가는 현상으로, 시공 후 타 공정에 의한 찍힘 발생이 하자발생의 가장 큰 이유이며 입주 시 이삿짐과 짐 옮김에 의한 하자와 사용상 과실로 발생한다. "
,"
타 공정 일반 가구나 주방가구 하자가 뭐야?","거실과 주방에서 가구의 이동이나 설치, 시공 시 가구의 높이가 2M이상으로 제작되어 동선의 폭이 좁을수록 찍힘 하자가 많이 발생하였다. "
,도어락 찍힘 하자는 언제 발생해?,각실 문짝이 열리고 닫힐 때 벽면의 도배에 접촉하여 영향을 주어 찍힘이 발생하였다. 
,벽체 코너면 오염 또는 훼손하자를 알려줘,도배공사 시공 후 타 공정의 작업자가 전기선이나 짐 옮김에 의하여 코너 부분에 도배지를 손상시켜 발생한다. 
,전기기구 주변 찢김 하자에 대해서 알려줘,"전기기구나 설비시설, 내장공사에 의해 찢기는 현상으로 각 공정시공 및 설치 시 발생한다. 특히 콘센트주변과 스위치 주변의 벽지가 찢겨져서 발생한다. "
,"도배공사의 하자유형별 문제점과 예방방안은 어떻게 돼?
도배 공사 하자유형이 어떤게 있어?
도배 공사 하자유형의 예방방안은 어떻게 돼?","도배공사의 하자유형 문제점 
1) 자재 및 시공자 하자에 대하여 자재이색 , 벽지 오염, 이음 부위 벌어짐, 울음하자 2) 후속작업자에 의한 하자에 대하여 찍힘과 스크래치, 타 공정 가구하자, 코너면 오염및 훼손, 전기기구 주변 찍힘과 찢어짐 3) 평형 및 가구 배치에 따른 하자에 대하여 침실하자, 들뜸 및 코너수축, 천정 등 박스와 복도 등 박스, 천정과 벽의 유형별 마감의 복잡 및 가구 등의 배치, 곰팡이 및 결로 하자 

예방방안 
1) 자재 및 시공자 하자에서는 시공자의 하자 요인에 대한 개선안을 제시 2) 후속 작업자에 의한 하자는 관리측면과 교육으로 감소할 수 있음을 제안 3) 평형 및 배치에 따른하자 예방의 경우 침실에 대한 관리 방안에 대하여 집중 관리 필요성을 제시. "
,"아파트 도배 하자패턴에 대해서 알려줘
아파트 도배 하자에는 어떤것들이 있어?","아파트 도배 하자패턴도배공사의 하자패턴을 분석한 결과, 도배지의 부착상태가 불량하여 전체 마감성이 저하되는 하자와 도배 자재 자체에 훼손이 가해져 발생하는 하자로 크게 나눌 수 있다. 도배 자재에 문제가 생기는 경우는 자재검수 단계에서 자재 색채 패턴에서 이색지는 자재가 생기는 하자가 있다. 또한,곰팡이 발생,찍힘,찢어짐으로 생기는 자재에 대한 하자도 있다.한편,도배시 시공성부족으로 인해 발생하는 들뜸,끝단 마감불량 등을 들 수 있다. 마감부 부착불량의 경우 몰딩,걸레받이,창틀 주변,전기 스위치 주변 마감시 도배 끝단이 제대로 부착되지 않고 붙어 있는 경우라 할 수 있다.도배지가 터지는 경우는 천정 석고판 조인트 부분에 도배지 품질을 위해 미리 시공하는 선작업이 부주의하여 팽팽하게 시공되어있는 도배면이 터지는경우가 간혹 발생한다. 또한 훼손이나 찍히는 경우는 도배작업이 마무리 되고 난 후,잔여작업상 긴 자재 또는 사다리 등을 가지고 옮기다가 부주의로 인해 도배지에 손상을 가하는 경우가 있다. 이러한 경우에는 작업공정계획을 치밀하게 하여 되도록 자재 운반 등의 작업을 미리 완결해 놓고 도배작업은 최후속 공종으로 만드는 것이 바람직하다 할 수 있다. 욕실에 면하는 벽이나,창틀 주변의 벽에서 발생하는 경우가 많은 결로 나 습기,환기불량 등으로 인해 석고면에 곰팡이가 발생하여 도배지가 변색하는 경우가 발생한다. 주로 장마철을 지나면 발생의 빈도가 훨씬 높아지는 하자이다. 이러한 하자의 경우 도배지의 교체로써 해결하는 것에서 더 나아가 바탕면이 되는 석고판의 교체 또는 곰팡이 발생원인을 먼저 선결해야 하는 것이 아주 중요하다.결로방지대책과 선행공정에 대해 완벽한 시공을 한 다음, 도배공사에 임하게 하는 것이 사전 대책방안이라고 할 수 있다. 간혹,도배지 중에서 색상이 도드라지게 다른 벽지가 있는데 그것은 자재에서 발생하는 하자로써,철저한 자재검수를 통해 이색지는 도배지는 사전에 시공되지 않게 하는 것이 중요하다. "
,"공동 주택의 도배 하자 기타원인엔 어떤것들이 있을까요?
공동 주택의 도배하자를 미연에 방지하기 위해선 어떻게 해야하나요?","공동주택의 도배 하자 기타원인
동절기 공사 중 도배공사는 시공 전 72시간,시공 후 48시간이상 경과 시 까지 16℃ 이상을 유지하여야 하며 바탕면의 건조 상태 특히,석고보드의 곰팡이 발생 유무와 미장 바탕면의 충분한 양생의 정도를 확인해야 한다. 또한,공사 완료 후 실내를 밀폐상태로 유지하여 급속한 건조로 인한 도배 지의 터짐 현상을 미연에 방지해야 한다."
,아파트의 도배하자 유형에는 무엇이 있나요?,"도배공사는 최종 마감공종이기 때문에 선행공정의 잘못으로 인한 하자가 많았으며,특히 균열,결로,설비,방수 등의 하자로 인한 누수현상이 도배하자로 발전하였고,하자현상은 들뜸,변색,곰팡이,찢어짐 등이 고르게 발생했다. 소홀한 시공과 부적절한 자재선택으로 이음부위의 탈락과 색상 다름 및 바닥재 변형 등의 하자가 발생되고 변색 및 곰팡이 현상은 누수 또는 습기로 인한 하자이다 "
,"공공임대 아파트의 하자 유형은 어떻게 되나요?
발주 주체별 하자 발생률은 어떻게 되나요?
민영아파트의 하자 저감 대책에 대해서 알려주세요.
공공 임대 아파트의 하자 저감 대책에 대해서 알려주세요.","- 공공임대 아파트 하자 유형 및 발생 빈도:
주로 오시공하자, 재료적 하자, 기능도 저하에 의한 하자가 발생.
오시공으로 인한 하자가 75%로 가장 많으며, 들뜸, 탈락, 갈라짐, 찢어짐 등의 문제 발생.
도배공사는 아트월, 석재 등이 적고, 단순하여 하자 발생 빈도가 높음.

- 민영 아파트와의 비교:
민영 아파트는 상대적으로 하자 발생 빈도가 적고, 발생 비율도 낮음.
다양한 마감자재와 인테리어적 요소를 사용하여 도배면적이 줄어들어 하자 발생 빈도가 낮다고 사료됨.

- 발주 주체별 하자 발생률:
도배공사의 발주 주체에 따라 하자 발생 비율 차이가 큼.
민영 아파트에서는 7.49%, 공공임대 아파트에서는 22.22%로 공종별 하자발생 편차가 큼.

- 하자 저감 대책:
- 민영 아파트:
오시공하자가 83%로 가장 높은 빈도를 보이므로 이에 대한 세심한 주의 필요.
도배재료의 적정성 확인, ks인증 제품 및 샘플시공을 통한 문제 파악이 필요.
뒷마무리 불량으로 인한 탈락 방지 위해 자연건조 조치 필요.

- 공공임대 아파트:
오시공하자가 가장 높은 발생 비율을 보이므로 해당 부분에 대한 대책 필요.
도배면적 증가와 세대폭 축소로 인한 하자 발생 현실.
도배자재 선택 시 오염방지 및 이색하자 방지 고려가 중요.
들뜸 방지를 위해 철저한 건조 및 시공이 필요하며, 재시공 시 깨끗이 걷어내야 함."
,"도배시공이 실내공기질에 영향을 미치나요?
도배 공사의 세부 공정 단계에 대해서 궁금합니다.","도배공사는 공동주택의 실내마감공사 중 넓은 면적을 벽지 및 접착제를 이용하여 시공하게 되므로 실내공기오염의 많은 부분을 차지할 것이라 판단된다. 더불어 마감공사의 공정상 실내의 창호공사 및 유리공사가 시작되어 실내가 기밀하게 변하면서 급격하게 환기량이 줄어드는 시점부터 시작되므로 그 오염원에 대한 희석 및 제거율도 크게 줄어들 것으로 판단된다. 도배공사의 세부 공정은 계획→바탕처리→초배작업→정배작업→청소 및 보양으로 이루어지는데 이 때 사용되는 자재 중 초배지와 정배지,그리고 이를 붙이기 위한 접착제에서 오염물질이 발생하고 있다."
,"초배 작업은 무엇인가요?
초배지를 바르는 방법은 무엇이 있나요?
초배지로는 주로 무엇을 사용하나요?",초배작업은 도배시 벽지와 벽면의 작업 상태를 양호하게 해주기 위해 하는 작업으로 벽면상태가 좋지 않은 경우는 샌드페이퍼(sandpaper)로 벽면을 고른 후에 하며 기존 벽지가 붙어 있을 경우에는 이를 제거한 후 초배작업을한다. 초배지로는 창호지를 일반적으로 사용하는데 양지로서 풀을 발라 붙이기가 용이한 것을 사용한다.이때 초배지를 바르는 방법으로 온통바름과 봉투바름이 있는데 온통바름은 초배지 전체를 풀질하는 것이고 봉투바름은 초배지의 가장자리만 풀칠하는 것으로 접착제의 양이 달라지게 된다. 
,"정배작업이란 무엇인가요?
정배작업의 순서를 알려주세요.","정배작업은 초배지를 바른 후 천장과 벽에 붙이는 작업이다. 순서는 천장, 벽 순서로 시공한다.벽지를 재단한 후 재단한 벽지에 도배풀을 사용하여 시공하는데 풀칠은 온통 또는 가장 자리만 하고 가운데 부분은 물칠을 한다. 이때 벽지가 무거운 것은 풀을 되게 하고 가벼운 것을 묽게 한다.풀을 바른후 10분 정도 경과 후에 붙이는 것이 효과적이다.벽에 부착할 때는 싱작업한 중앙부분에 맞추어 붙인다.벽에 부착할 때는 2명 이상의 인원이 작업을 하게 되며 풀이 부착된 부분은 솔로 문질러 밀착되도록 한다."
,"PVC 벽지의 경우 시공 시 실내 공기의 오염원을 방출하나요?
PVC 벽지에 대해 설명해주세요.","정배작업시 사용하는 벽지 중 비닐벽지라 불리는 PVC벽지의 경우 제조 공정중에 Coating과 인쇄공정에서 오염물질이 첨가되게 되는데, Coating 공정에서는 PVC층을 종이에 붙이기 위해 접착제를 사용하게 되고 인쇄공정에서는 유성잉크를 사용하여 제조하고 있어 시공 시 실내공기의 오염원을 방출한다. "
,초산수지계 접착제란 무엇인가요?,"벽지 시공시 사용되는 접착제 중 전분계 접착제의 경우에는 방부기능을 더하기 위해 포름알데히드를 첨가하기도 하고 접착력 증강을 목적으로 물풀에 접착력 증가제가 첨가되기도 하며 실크벽지의 경우에는 물풀이 아닌 접착제만으로 시공되는데 그 종류는 초산비닐수지계 접착제, 아크릴수지계 접착제, 요소수지계 접착제로 나눌 수 있다. 초산비닐수지계 접착제는 벽지 뿐 아니라 목재,미장합판,마루판,종이 각종 직물류 등의 접착에도 사용되고 제조사별로 차이가 있으나 수성에멀젼형으로 제품이 출시되고 있어 화기에 안전하게 사용되기도 한다.이들 초산비닐수지계의 접착제중 용제형 접착제에는 아세톤,초산에틸,메탄올 등이 포함되어 있고 에멀젼형 접착제에는 톨루엔이 포함되어 있기도 한다. "
,"아크릴 수지 접착제에 대해 알려주세요
습기가 구석진 곳에 사용하기 적절한 접착제는 무엇인가요?","아크릴 수지 접착제는 주로 단독으로 사용하기 보다는 접착력 증강제로 사용되며 접착력이 우수하여 습한 벽지에 사용되고, 습기가 구석진 곳에 사용하며 작업성이 우수하다."
,"요소수지계 접착제에 대해서 알려주세요
일반적으로 가장 널리 사용되는 접착제는 무엇인가요?",
,"도장의 개념이 무엇인가요?
도장의 종류를 알려주세요"," 도장(페인트)이란 물체의 표면에 도포하여 엷은 막을 형성해 물체를 보호하고 색이나 질감을 입혀 미적인 효과를 만들어내는 모든 재료이다.
도장(페인트)의 종류는 수성페인트와 유성페인트로 나뉘며, 유성페인트는 에나멜, 에폭시, 우레탄의 종류를 가진다."
,도장 시공법 중 붓도장에 대해서 알려주세요,"붓도장
- 누구나 손쉽게 칠할 수 있어 홈 DIY에 적합하다.
- 초기 건조가 빠른 페인트에는 적당하지 않다.
- 벽면이 고르지 않거나, 구석진 부위 좁은 면에 칠하기 좋다.
- 작업자의 실력에 따라 품질 차이가 크다.(도막 두께가 다르고 붓 자국이 남을 수 있다.)
- 칠하는 부위의 형태와 면적에 따라 붓 종류도 구분된다.
- 붓자국이 잘 남지 않는 폼브러시와도 같이 사용하면 좋다."
,도장 시공법 중 롤러 도장에 대해서 알려주세요.,"롤러 도장
- 롤러를 사용하여 일정한 압력으로 누르면서 균일하게 칠하는 방법이다.
- 넓은 면을 빠르고 깨끗하게 칠할 수 있다.
- 형태가 불규칙한 면에는 적합하지 않다.
- 수성페인트 : 털이 길고 굵은 롤러를 사용한다./유성페인트 : 털이 짧고 부드러운 롤러를 사용한다.
- 고르지 않은 면 : 털이 긴 제품 사용/ 평평한 면 : 털이 짧은 제품 사용"
,도장 시공법 중 뿜칠도장에 대해서 알려주세요,"뿜칠도장
- 압축공기를 이용하여 스프레이건으로 안개처럼 분사하여 칠하는 방법이다.
- 균등한 면작업이 가능하고 많고 넓은 면적을 작업할 때 많이 사용된다.
- 도장 시공법 중 가장 고품질의 도막을 얻을 수 있다.
- 분사하여 칠하는 방법이기 때문에 작업 전 페인트 칠을 제외한 부분 보양작업은 필수이다."
,도장의 장점은 무엇인가요?,"
- 몰딩이 필요없게 되어 전체적으로 플랫한 연출이 가능하다.
- 페인트 칼라를 마음대로 정해볼 수 있고, 혹시 맘에 안든다면 다른 색으로 덧칠할 수 있다. 마찬가지로 나중에 벽에 하자가 났을 때 그 부분만 같은 색으로 칠해서 세밀하게 보수할 수 있다.
- 벽에 붓 자국이 조금 보여서 살짝 회화 같은 느낌이 든다.
- 롤러나 붓으로 칠하지 않고 도장기기를 분사하는 방식으로 시공하기 때문에 결이 남지 않고 벽지처럼 이음새가 보이지 않아 매우 깔끔하다는 장점을 가짐"
,도장의 단점은 무엇인가요?,"- 시공시 페인트 공정이 들어가는 부분에 밑작업이 다른 마감재보다 훨씬 많이 필요하기 때문에 시간과 비용(인건비)가 더 비싸므로, 도장이 도배보다 비싸다.
- 페인트를 칠하기 전에 벽을 매끈하게 만들어 잘 칠해지도록 벽의 밑 작업을 충분히 해야 한다."
,"도배의 장점을 알려주세요.
도장, 필름과 비교했을 때 도배는 어떤 점이 좋은가요?","- 시공이 쉽고 빠르다. (1~3일 정도)
- 벽지의 종류에 따라 가격은 천차만별이지만 도장, 필름과 비교했을 때 훨씬 저렴한 편이다. 또한, 벽지는 페인트로 구현해내기 힘든 다채로운 패턴과 질감, 광택의 표현이 가능하다는 장점이 있다. 보통은 합지멱지, 실크벽지가 많이 사용되고 실크벽지의 경우 겉면의 코팅처리로 오염시 비교적 쉽게 닦아낼 수 있다."
,도배의 단점은 무엇인가요?,"- 벽지는 때는 잘 안타지만, 찢어지거나 파손된 부분은 그 부분만 도배를 덧대어 한다고 해도 티가 많이 나고, 벽 전체를 재시공해야 깔끔하다."
,"인테리어 필름의 장점은 무엇인가요?
인테리어 필름, 도배, 도장 중 유지관리가 가장 쉬운 것은 무엇인가요?","- 인테리어 필름은 도배, 도장 중에서 유지 관리가 가장 쉽다. 
- 때도 잘 타지 않고 오염이 되어도 물수건으로 닦아주기만 하면 된다.
- 마치 도장을 한 것처럼 집이 깔끔해 보이기도 한다."
,"인테리어 필름의 단점은 무엇인가요?
습기가 많은 집에 인테리어 필름은 적절한가요?","- 습기가 많은 공간에서는 취약하므로 습기가 많은 공간의 작업은 피해야한다.
- 도장보다는 저렴하지만 도배보단 비싸고 현장 컨디션에 따라 시공비가 더 나올 수 있다는 점을 유의해야한다."
